srr	bioproject	organism	platform	library_strategy	library_source	spots	experiment_title
ERR13999325	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	96557	Illumina HiSeq 2000 paired end sequencing
ERR13999250	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	84561	Illumina HiSeq 2000 paired end sequencing
ERR13999238	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	1495	Illumina HiSeq 2000 paired end sequencing
ERR13999275	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	99505	Illumina HiSeq 2000 paired end sequencing
ERR13999268	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	73830	Illumina HiSeq 2000 paired end sequencing
ERR13999283	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	113848	Illumina HiSeq 2000 paired end sequencing
ERR13999296	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	104797	Illumina HiSeq 2000 paired end sequencing
ERR13999305	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	92845	Illumina HiSeq 2000 paired end sequencing
ERR13999243	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	95824	Illumina HiSeq 2000 paired end sequencing
ERR13999236	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	3987	Illumina HiSeq 2000 paired end sequencing
ERR13999309	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	100055	Illumina HiSeq 2000 paired end sequencing
ERR13999253	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	42632	Illumina HiSeq 2000 paired end sequencing
ERR13999279	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	61484	Illumina HiSeq 2000 paired end sequencing
ERR13999292	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	107567	Illumina HiSeq 2000 paired end sequencing
ERR13999231	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	2645	Illumina HiSeq 2000 paired end sequencing
ERR13999316	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	44600	Illumina HiSeq 2000 paired end sequencing
ERR13999293	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	97967	Illumina HiSeq 2000 paired end sequencing
ERR13999272	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	98829	Illumina HiSeq 2000 paired end sequencing
ERR13999262	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	97611	Illumina HiSeq 2000 paired end sequencing
ERR13999239	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	6377	Illumina HiSeq 2000 paired end sequencing
ERR13999232	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	10927	Illumina HiSeq 2000 paired end sequencing
ERR13999256	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	105446	Illumina HiSeq 2000 paired end sequencing
ERR13999273	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	101725	Illumina HiSeq 2000 paired end sequencing
ERR13999282	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	106320	Illumina HiSeq 2000 paired end sequencing
ERR13999289	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	97198	Illumina HiSeq 2000 paired end sequencing
ERR13999252	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	108147	Illumina HiSeq 2000 paired end sequencing
ERR13999322	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	102677	Illumina HiSeq 2000 paired end sequencing
ERR13999257	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	67995	Illumina HiSeq 2000 paired end sequencing
ERR13999264	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	65273	Illumina HiSeq 2000 paired end sequencing
ERR13999323	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	56626	Illumina HiSeq 2000 paired end sequencing
ERR13999295	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	78773	Illumina HiSeq 2000 paired end sequencing
ERR13999248	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	111135	Illumina HiSeq 2000 paired end sequencing
ERR13999284	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	103963	Illumina HiSeq 2000 paired end sequencing
ERR13999242	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	3217	Illumina HiSeq 2000 paired end sequencing
ERR13999321	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	83202	Illumina HiSeq 2000 paired end sequencing
ERR13999310	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	124109	Illumina HiSeq 2000 paired end sequencing
ERR13999270	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	104571	Illumina HiSeq 2000 paired end sequencing
ERR13999291	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	88664	Illumina HiSeq 2000 paired end sequencing
ERR13999277	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	60077	Illumina HiSeq 2000 paired end sequencing
ERR13999263	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	70529	Illumina HiSeq 2000 paired end sequencing
ERR13999313	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	88855	Illumina HiSeq 2000 paired end sequencing
ERR13999320	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	24578	Illumina HiSeq 2000 paired end sequencing
ERR13999276	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	34672	Illumina HiSeq 2000 paired end sequencing
ERR13999297	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	113263	Illumina HiSeq 2000 paired end sequencing
ERR13999315	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	62164	Illumina HiSeq 2000 paired end sequencing
ERR13999290	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	112202	Illumina HiSeq 2000 paired end sequencing
ERR13999319	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	58593	Illumina HiSeq 2000 paired end sequencing
ERR13999233	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	10350	Illumina HiSeq 2000 paired end sequencing
ERR13999288	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	69867	Illumina HiSeq 2000 paired end sequencing
ERR13999261	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	110744	Illumina HiSeq 2000 paired end sequencing
ERR13999247	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	89095	Illumina HiSeq 2000 paired end sequencing
ERR13999302	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	103635	Illumina HiSeq 2000 paired end sequencing
ERR13999267	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	112460	Illumina HiSeq 2000 paired end sequencing
ERR13999314	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	107120	Illumina HiSeq 2000 paired end sequencing
ERR13999246	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	78105	Illumina HiSeq 2000 paired end sequencing
ERR13999286	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	57679	Illumina HiSeq 2000 paired end sequencing
ERR13999306	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	106219	Illumina HiSeq 2000 paired end sequencing
ERR13999294	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	81982	Illumina HiSeq 2000 paired end sequencing
ERR13999237	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	1237	Illumina HiSeq 2000 paired end sequencing
ERR13999249	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	100358	Illumina HiSeq 2000 paired end sequencing
ERR13999244	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	89131	Illumina HiSeq 2000 paired end sequencing
ERR13999318	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	60386	Illumina HiSeq 2000 paired end sequencing
ERR13999307	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	73783	Illumina HiSeq 2000 paired end sequencing
ERR13999303	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	57665	Illumina HiSeq 2000 paired end sequencing
ERR13999326	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	48551	Illumina HiSeq 2000 paired end sequencing
ERR13999245	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	76195	Illumina HiSeq 2000 paired end sequencing
ERR13999254	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	88701	Illumina HiSeq 2000 paired end sequencing
ERR13999259	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	73785	Illumina HiSeq 2000 paired end sequencing
ERR13999274	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	26192	Illumina HiSeq 2000 paired end sequencing
ERR13999280	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	60355	Illumina HiSeq 2000 paired end sequencing
ERR13999266	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	83028	Illumina HiSeq 2000 paired end sequencing
ERR13999317	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	40103	Illumina HiSeq 2000 paired end sequencing
ERR13999241	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	3334	Illumina HiSeq 2000 paired end sequencing
ERR13999271	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	97969	Illumina HiSeq 2000 paired end sequencing
ERR13999324	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	66965	Illumina HiSeq 2000 paired end sequencing
ERR13999301	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	72387	Illumina HiSeq 2000 paired end sequencing
ERR13999234	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	5233	Illumina HiSeq 2000 paired end sequencing
ERR13999265	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	118501	Illumina HiSeq 2000 paired end sequencing
ERR13999281	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	89473	Illumina HiSeq 2000 paired end sequencing
ERR13999251	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	57698	Illumina HiSeq 2000 paired end sequencing
ERR13999308	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	125493	Illumina HiSeq 2000 paired end sequencing
ERR13999300	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	79759	Illumina HiSeq 2000 paired end sequencing
ERR13999287	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	82359	Illumina HiSeq 2000 paired end sequencing
ERR13999298	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	126223	Illumina HiSeq 2000 paired end sequencing
ERR13999260	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	103821	Illumina HiSeq 2000 paired end sequencing
ERR13999240	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	7492	Illumina HiSeq 2000 paired end sequencing
ERR13999235	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	5896	Illumina HiSeq 2000 paired end sequencing
ERR13999255	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	88299	Illumina HiSeq 2000 paired end sequencing
ERR13999258	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	110122	Illumina HiSeq 2000 paired end sequencing
ERR13999285	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	16650	Illumina HiSeq 2000 paired end sequencing
ERR13999311	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	99126	Illumina HiSeq 2000 paired end sequencing
ERR13999299	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	70522	Illumina HiSeq 2000 paired end sequencing
ERR13999269	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	92340	Illumina HiSeq 2000 paired end sequencing
ERR13999278	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	78456	Illumina HiSeq 2000 paired end sequencing
ERR13999304	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	81568	Illumina HiSeq 2000 paired end sequencing
ERR13999312	PRJEB82826	Homo sapiens	ILLUMINA	AMPLICON	METAGENOMIC	80756	Illumina HiSeq 2000 paired end sequencing
SRR31465416	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	136827	skin microbiome
SRR31465417	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	217022	skin microbiome
SRR31465418	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	147950	skin microbiome
SRR31465419	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	163268	stool microbiome
SRR31465420	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	193655	stool microbiome
SRR31465421	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	118459	stool microbiome
SRR31465422	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	127608	stool microbiome
SRR31465423	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	124954	skin microbiome
SRR31465424	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	168514	stool microbiome
SRR31465425	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	141986	blood microbiome
SRR31465426	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	85130	blood microbiome
SRR31465427	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	153520	blood microbiome
SRR31465428	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	154183	blood microbiome
SRR31465429	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	129251	blood microbiome
SRR31465430	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	148347	blood microbiome
SRR31465431	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	128538	blood microbiome
SRR31465432	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	164158	blood microbiome
SRR31465433	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	138747	blood microbiome
SRR31465434	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	130800	skin microbiome
SRR31465435	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	97082	blood microbiome
SRR31465436	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	164061	blood microbiome
SRR31465437	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	160049	blood microbiome
SRR31465438	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	129737	blood microbiome
SRR31465439	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	118651	blood microbiome
SRR31465440	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	119665	blood microbiome
SRR31465441	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	126766	blood microbiome
SRR31465442	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	102632	blood microbiome
SRR31465443	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	136156	blood microbiome
SRR31465444	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	110165	blood microbiome
SRR31465445	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	144930	skin microbiome
SRR31465446	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	121099	blood microbiome
SRR31465447	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	88739	blood microbiome
SRR31465448	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	105699	blood microbiome
SRR31465449	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	117946	blood microbiome
SRR31465450	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	190370	stool microbiome
SRR31465451	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	170614	stool microbiome
SRR31465452	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	144682	stool microbiome
SRR31465453	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	161768	stool microbiome
SRR31465454	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	141031	stool microbiome
SRR31465455	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	152569	stool microbiome
SRR31465456	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	165301	skin microbiome
SRR31465457	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	174984	stool microbiome
SRR31465458	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	147081	stool microbiome
SRR31465459	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	155763	stool microbiome
SRR31465460	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	148161	stool microbiome
SRR31465461	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	118284	stool microbiome
SRR31465462	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	157238	stool microbiome
SRR31465463	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	160780	stool microbiome
SRR31465464	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	160900	stool microbiome
SRR31465465	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	111729	stool microbiome
SRR31465466	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	155088	stool microbiome
SRR31465467	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	13059	skin microbiome
SRR31465468	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	115109	stool microbiome
SRR31465469	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	105185	stool microbiome
SRR31465470	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	142721	skin microbiome
SRR31465471	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	152038	skin microbiome
SRR31465472	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	157031	skin microbiome
SRR31465473	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	124649	skin microbiome
SRR31465474	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	117637	skin microbiome
SRR31465475	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	154203	skin microbiome
SRR31465476	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	152842	skin microbiome
SRR31465477	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	148427	skin microbiome
SRR31465478	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	9095	skin microbiome
SRR31465479	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	1080	skin microbiome
SRR31465480	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	175946	blood microbiome
SRR31465481	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	86397	blood microbiome
SRR31465482	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	143466	blood microbiome
SRR31465483	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	138585	skin microbiome
SRR31465484	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	132569	blood microbiome
SRR31465485	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	136756	blood microbiome
SRR31465486	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	138945	blood microbiome
SRR31465487	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	128692	blood microbiome
SRR31465488	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	120332	blood microbiome
SRR31465489	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	138698	skin microbiome
SRR31465490	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	160182	skin microbiome
SRR31465491	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	187378	skin microbiome
SRR31465492	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	172810	skin microbiome
SRR31465493	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	170040	skin microbiome
SRR31465494	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	166749	skin microbiome
SRR31465495	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	83348	skin microbiome
SRR31465496	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	165443	skin microbiome
SRR31465497	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	159673	skin microbiome
SRR31465498	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	159758	stool microbiome
SRR31465499	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	177862	stool microbiome
SRR31465500	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	175249	stool microbiome
SRR31465501	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	86550	stool microbiome
SRR31465502	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	134427	stool microbiome
SRR31465503	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	188253	stool microbiome
SRR31465504	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	155272	stool microbiome
SRR31465505	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	169555	skin microbiome
SRR31465506	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	134683	stool microbiome
SRR31465507	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	159803	skin microbiome
SRR31465508	PRJNA1189573	metagenome	ILLUMINA	AMPLICON	METAGENOMIC	138546	skin microbiome
DRR574465	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	10614	Illumina MiSeq sequencing of SAMD00794622
DRR574464	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	7790	Illumina MiSeq sequencing of SAMD00794621
DRR574463	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	9140	Illumina MiSeq sequencing of SAMD00794620
DRR574462	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	22217	Illumina MiSeq sequencing of SAMD00794619
DRR574461	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	18472	Illumina MiSeq sequencing of SAMD00794618
DRR574460	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	49824	Illumina MiSeq sequencing of SAMD00794617
DRR574459	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	28667	Illumina MiSeq sequencing of SAMD00794616
DRR574458	PRJDB18292	metagenome	ILLUMINA	WXS	METAGENOMIC	13106	Illumina MiSeq sequencing of SAMD00794615
